Custid,Dayswus,Age,Educ,Income,Kidhome,Teenhome,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,Access
2758,1134,60,16,92021,0,1,28,61,1345,336,15,54,4,27,7,8,12,27,5,0
2759,571,21,15,43643,0,0,4,59,55,5,29,17,12,32,17,22,16,81,8,0
2760,1162,27,15,20688,1,0,1,127,13,-1,67,29,24,34,0,13,78,56,7,1
2761,1016,51,19,79276,0,1,24,87,1091,393,12,80,4,15,1,0,5,68,9,0
2762,928,35,18,41092,1,1,3,68,32,-5,68,74,2,18,4,2,35,42,5,0
2763,1147,37,19,51744,1,1,2,9,41,-9,70,61,0,36,1,1,1,53,7,0
2764,942,65,17,88705,1,0,22,29,952,517,4,42,15,24,9,10,22,39,5,0
2765,1040,42,20,46467,1,1,1,372,15,-5,88,75,0,23,1,1,2,63,7,0
2766,934,67,15,97595,0,0,28,5,1343,388,2,28,4,41,12,15,13,13,2,0
2767,1018,45,16,54252,0,1,11,69,343,-24,61,79,1,8,9,2,29,60,8,0
2768,940,55,17,72077,0,1,16,56,602,158,12,33,3,42,4,18,9,22,3,0
2769,615,77,19,104008,0,0,28,2,1340,697,3,53,2,35,6,4,2,14,1,0
2770,691,78,16,123451,0,0,40,18,2104,779,0,52,1,44,2,1,1,13,1,2
2771,1028,61,20,91938,0,1,27,73,1270,230,21,56,6,26,6,7,1,32,6,0
2772,1089,21,14,10000,1,0,1,493,11,-1,74,34,29,14,14,9,39,59,8,0
2773,745,65,18,90789,0,0,26,7,1218,530,6,70,5,17,5,3,4,45,5,0
2774,847,21,15,21011,0,0,1,512,15,1,33,12,18,39,27,4,21,60,7,0
2775,1100,69,17,107751,0,0,40,0,2109,734,1,20,10,56,8,6,41,9,2,0
2776,1044,45,14,62738,0,1,7,65,182,17,34,85,2,11,1,2,9,46,7,0
2777,1127,70,15,113622,0,0,32,8,1596,479,0,26,2,46,16,11,5,20,2,0
2778,572,36,20,59727,1,1,4,18,39,-7,78,66,2,21,5,6,6,58,3,0
2779,956,61,20,89034,0,1,24,94,1082,301,5,76,2,19,2,1,4,37,6,0
2780,941,56,17,77598,0,0,26,65,1213,348,3,54,4,23,7,12,10,29,4,0
2781,1010,36,15,62645,1,1,2,71,34,-10,74,57,3,32,5,4,26,51,5,0
2782,1237,70,17,92224,0,0,27,78,1276,437,6,38,8,39,2,13,15,19,4,0
2783,891,51,16,75378,0,1,19,35,768,167,23,90,1,8,1,0,6,55,8,2
2784,684,75,16,118888,0,0,30,53,1464,701,1,47,5,40,3,5,2,17,2,1
2785,914,77,17,121510,0,0,49,8,2644,1320,1,36,5,50,7,2,1,11,2,1
2786,792,26,15,45823,1,0,4,13,68,1,47,31,7,52,9,0,27,55,7,0
2787,785,59,15,85856,0,1,17,20,649,174,19,19,18,34,11,18,9,26,3,0
2788,999,30,18,31214,1,0,3,8,38,-3,60,33,5,48,4,10,2,55,7,0
2789,1007,40,19,54995,1,1,2,57,42,-2,54,45,9,32,10,4,24,39,6,0
2790,941,75,19,116250,0,0,36,73,1858,652,1,49,6,39,2,4,3,27,3,0
2791,676,52,15,84983,1,1,10,52,302,16,45,43,8,36,4,9,20,33,3,0
2792,701,37,16,47684,1,1,3,77,27,-3,64,31,11,43,7,7,18,58,4,0
2793,634,33,16,47191,1,0,5,13,75,4,41,25,14,37,17,7,47,64,6,0
2794,1006,72,14,99634,0,0,31,75,1539,446,1,20,19,40,9,12,3,12,2,0
2795,756,41,18,56034,1,1,1,124,20,-3,72,52,0,26,9,13,12,42,4,0
2796,1041,62,17,94439,0,1,22,18,955,443,8,48,8,27,4,14,24,26,3,0
2797,838,28,14,39743,1,0,2,49,22,-2,69,27,10,45,6,11,71,59,6,1
2798,577,64,17,106403,0,1,20,54,832,341,6,69,1,26,2,2,4,21,1,0
2799,820,36,16,57377,1,1,3,55,51,-11,71,70,4,20,1,5,74,41,4,1
2800,710,39,14,46942,1,1,1,509,13,-4,78,58,1,34,4,4,31,54,6,0
2801,1177,48,19,86305,0,1,21,5,891,366,12,89,0,9,1,1,8,51,7,1
2802,1048,64,19,110222,0,1,29,47,1413,533,9,91,1,6,1,1,13,35,6,1
2803,572,28,16,49808,1,0,3,29,50,0,48,43,0,38,9,10,12,58,6,0
2804,1157,70,20,109433,0,0,42,96,2225,1076,1,58,2,35,2,3,2,18,4,0
2805,724,55,16,83266,0,1,22,61,954,435,9,54,5,28,5,7,4,21,3,1
2806,586,26,18,54551,1,0,4,35,56,3,38,42,7,39,10,1,12,55,5,0
2807,753,65,17,101674,0,0,25,8,1154,514,2,37,14,34,1,14,9,16,1,0
2808,951,19,13,38043,0,0,4,41,91,18,11,10,18,23,47,2,3,58,7,0
2809,836,70,17,94436,0,0,36,1,1861,855,1,26,9,49,9,8,10,24,4,0
2810,886,67,19,79445,0,0,23,66,1025,271,7,68,3,26,2,1,9,12,2,1
2811,1075,38,19,52846,0,0,13,7,432,161,10,65,1,31,1,1,3,41,6,0
2812,1195,47,17,67531,0,0,17,92,646,285,10,64,2,28,4,2,4,32,5,0
2813,862,42,20,58655,1,0,6,87,151,15,42,85,0,14,0,0,2,47,4,0
2814,777,32,20,53666,1,0,2,9,40,-1,57,40,5,42,6,6,15,60,6,0
2815,893,43,16,61398,1,1,14,11,489,-109,69,70,2,23,3,3,4,37,7,0
2816,904,50,16,60686,0,1,4,83,92,18,26,62,5,28,3,2,8,67,8,0
2817,950,37,16,47325,0,1,3,35,64,7,38,64,1,30,3,2,25,43,5,0
2818,722,46,18,74944,0,1,11,88,348,94,16,82,2,13,2,1,6,41,4,0
2819,580,54,20,87744,1,1,9,1,259,44,35,60,3,31,4,3,4,56,6,0
2820,789,67,17,111347,0,0,37,99,1923,1024,3,53,4,31,5,7,1,15,2,1
2821,807,43,16,60104,1,0,3,89,66,3,43,55,3,36,4,2,16,69,7,0
2822,822,21,15,33125,1,0,2,24,40,-3,63,27,8,26,36,3,34,59,8,0
2823,792,60,16,101666,0,1,18,68,715,151,15,56,3,27,8,6,19,34,3,0
2824,632,23,17,31618,0,0,3,57,50,6,22,18,15,45,12,10,18,57,7,0
2825,1107,69,20,93760,0,0,24,84,1077,344,3,36,6,49,4,4,2,12,1,0
2826,847,72,19,125382,0,0,34,46,1728,776,1,57,1,39,1,3,1,12,1,0
2827,565,74,15,99698,0,0,25,70,1145,382,4,43,1,45,5,6,2,11,1,0
2828,1121,28,19,49882,1,0,1,330,19,-2,62,78,2,19,0,0,6,49,7,0
2829,1049,42,16,61748,1,1,2,46,37,-6,70,86,1,11,1,1,55,59,7,0
2830,971,47,20,68041,0,1,5,23,118,9,38,93,0,6,0,1,7,57,7,0
2831,893,53,14,71865,0,1,10,33,297,88,18,74,1,21,3,1,1,58,7,0
2832,1250,75,18,121480,0,0,44,90,2347,1361,2,45,1,38,5,11,4,10,2,1
2833,1017,78,17,134375,0,0,44,27,2349,709,0,55,4,35,3,3,17,21,3,2
2834,1182,53,16,81647,0,1,18,73,711,115,27,70,3,20,1,6,3,48,6,0
2835,1238,44,17,58378,1,0,15,67,549,77,35,36,6,46,6,7,41,43,6,1
2836,821,51,17,70087,0,1,15,30,549,82,25,61,3,30,3,3,5,32,4,0
2837,1089,44,18,76839,1,0,11,22,345,166,9,76,4,15,1,4,5,42,4,0
2838,1143,37,15,59896,1,1,4,99,90,-11,62,58,6,21,7,8,10,54,7,0
2839,748,45,18,58665,1,1,7,62,184,-4,53,84,0,13,0,3,16,57,7,0
2840,772,37,14,50390,1,1,5,20,118,5,45,47,7,40,2,4,60,52,6,1
2841,792,66,16,110294,0,0,31,41,1528,463,1,36,6,29,13,16,18,16,2,1
2842,989,25,17,32095,1,0,1,479,20,-1,60,46,8,31,12,3,20,61,8,0
2843,667,19,13,31236,1,0,3,41,31,0,51,16,24,32,17,11,18,62,6,0
2844,1026,56,14,101000,0,1,22,42,953,232,14,42,18,20,15,6,2,24,3,2
2845,1066,31,17,37821,1,0,4,83,56,-1,53,35,8,41,7,9,15,74,8,0
2846,1011,43,18,65642,0,1,18,58,711,308,13,42,0,42,8,8,3,36,6,0
2847,1192,54,15,95014,0,1,17,93,660,217,8,87,0,10,0,3,13,61,7,1
2848,1183,42,18,57299,0,1,4,71,93,-12,65,77,4,13,4,2,56,52,7,0
2849,574,40,14,62008,1,1,6,46,149,-18,66,55,0,25,3,16,29,51,6,0
2850,653,66,18,96606,0,1,21,33,886,242,10,78,1,20,0,0,1,45,6,0
2851,1064,63,19,82661,0,1,26,27,1208,436,13,87,1,12,0,0,2,24,5,2
2852,947,32,18,40609,1,1,4,28,57,-12,88,32,20,33,9,6,27,61,7,0
2853,1004,31,15,74693,1,0,11,42,349,54,25,23,19,35,13,10,18,55,5,0
2854,588,22,16,35667,1,0,1,426,13,0,55,11,15,43,3,28,12,72,8,0
2855,587,68,19,105006,0,0,22,36,960,376,1,23,13,49,9,6,2,9,0,0
2856,644,20,14,17343,1,0,5,34,33,-6,92,1,30,17,18,34,61,74,6,0
2857,995,50,17,57580,0,1,16,88,604,181,10,89,1,7,2,1,5,55,8,0
2858,926,27,18,41711,1,0,5,23,117,-4,56,27,6,57,5,5,8,76,9,0
2859,1202,27,20,54263,1,1,14,5,482,-23,57,39,3,43,8,7,22,36,7,0
2860,952,46,16,81207,0,1,18,34,704,225,11,79,3,11,3,4,13,27,3,1
2861,1169,30,14,30686,1,0,3,34,48,2,41,31,2,39,1,27,14,66,8,0
2862,1170,44,16,62314,1,1,3,73,66,-6,63,52,2,31,7,8,11,54,7,0
2863,724,68,15,112332,0,0,27,40,1269,632,2,23,34,26,6,11,35,19,1,0
2864,1240,38,20,55929,1,1,8,90,223,-87,81,73,2,21,2,2,3,60,8,0
2865,1011,26,16,23852,1,0,4,37,56,0,51,31,1,38,21,9,41,65,8,0
2866,1024,46,17,81351,0,1,14,81,492,175,15,86,2,8,2,2,28,64,7,1
2867,1070,76,18,109437,0,0,38,8,1981,667,1,28,8,49,5,9,1,10,2,0
2868,582,50,15,67183,0,1,11,3,340,57,32,86,2,11,0,1,10,57,7,1
2869,1196,48,16,64997,0,0,22,97,947,345,18,80,3,13,1,3,4,53,9,0
2870,985,32,19,36317,1,1,4,39,56,-13,87,67,0,31,1,1,6,80,9,0
2871,720,46,15,65651,0,1,16,11,595,253,13,81,1,13,1,4,45,55,7,0
2872,1111,39,14,46345,1,1,1,16,19,-5,83,66,5,17,7,5,15,63,8,0
2873,893,65,18,85762,0,0,26,67,1218,468,2,37,15,37,7,4,4,18,3,0
2874,647,29,18,33028,1,0,2,96,27,-2,63,50,1,44,2,3,9,43,4,0
2875,850,21,15,24946,0,0,3,67,46,5,29,8,19,23,18,32,29,70,8,0
2876,649,77,19,93706,0,0,24,33,1078,422,3,52,3,35,5,5,1,13,1,0
2877,1145,22,16,36322,1,0,3,2,65,-6,75,6,27,40,24,2,61,69,9,0
2878,714,68,17,93376,0,0,28,55,1340,368,4,20,5,54,11,11,1,15,2,0
2879,1172,29,15,47978,1,0,7,62,183,18,37,27,21,34,12,5,23,60,9,0
2880,687,29,16,51697,1,0,1,464,15,0,52,31,2,50,4,13,35,73,7,0
2881,870,40,19,72335,1,1,2,44,34,1,44,71,0,25,2,2,14,56,5,0
2882,874,43,14,61193,0,0,15,26,546,150,7,36,7,41,5,11,12,41,6,0
2883,1118,58,18,93487,0,1,21,5,893,304,8,73,1,20,3,3,7,40,5,0
2884,1089,62,16,89394,0,1,21,92,893,365,11,61,4,15,2,17,12,21,2,0
2885,810,28,14,38457,1,0,3,45,42,-2,58,23,11,36,14,17,15,72,8,0
2886,932,73,18,104365,0,0,38,53,1978,703,2,64,1,29,3,3,3,16,3,2
2887,1074,55,14,90636,0,1,20,38,826,137,24,52,3,28,3,15,1,31,5,0
2888,1200,28,14,19727,1,0,2,1,35,-5,78,38,9,23,17,12,46,68,9,0
2889,607,59,18,83831,0,1,12,49,395,158,8,71,12,10,4,3,12,29,2,0
2890,990,36,18,55146,0,1,10,85,304,-21,61,84,0,15,0,1,2,58,8,0
2891,779,30,17,46367,1,0,1,520,15,2,29,52,6,37,3,2,7,68,6,0
2892,998,19,13,23383,0,0,1,317,19,2,30,7,24,28,15,25,40,61,8,0
2893,1215,21,15,25681,1,0,5,80,120,-8,66,18,28,23,6,25,45,63,9,1
2894,968,71,15,108594,0,0,31,58,1538,873,2,25,18,38,4,15,2,7,1,0
2895,808,38,15,69894,0,1,11,76,342,54,28,46,1,28,25,0,26,59,7,0
2896,830,70,19,91716,0,0,24,46,1078,474,3,36,9,49,3,2,5,15,1,0
2897,1092,77,18,116531,0,0,35,19,1798,784,1,58,2,37,1,2,4,16,2,2
2898,924,24,18,22894,1,0,1,371,11,0,55,15,26,44,13,2,16,70,8,0
2899,854,59,19,83270,0,1,16,98,601,159,15,43,9,37,11,0,1,30,2,0
2900,587,32,15,58450,1,0,1,501,13,0,53,22,20,19,18,21,34,67,6,0
2901,581,45,20,67237,1,1,6,61,152,9,42,95,0,5,0,0,7,65,7,0
2902,586,72,17,109780,0,0,31,8,1532,481,1,41,7,47,2,3,1,11,1,0
2903,654,46,19,77216,0,1,21,34,891,195,22,90,0,9,0,0,4,36,5,1
2904,903,56,19,73988,0,1,25,60,1147,372,11,74,0,17,6,3,22,27,6,1
2905,708,38,18,40635,1,0,3,16,55,1,49,86,2,11,1,0,23,46,6,0
2906,1133,53,16,76188,0,1,20,4,837,208,12,73,1,23,3,1,2,60,8,0
2907,688,47,16,56572,0,1,3,99,64,-1,51,86,1,10,2,1,7,47,5,0
2908,810,41,16,41078,1,0,3,78,55,-3,59,53,2,35,6,4,31,40,4,0
2909,1033,20,14,39354,1,0,2,37,41,2,40,16,11,11,31,31,27,82,9,0
2910,1185,41,20,84761,1,0,16,6,597,171,24,78,1,19,1,1,4,46,6,0
2911,929,20,14,34751,0,0,3,24,50,2,37,12,34,23,15,16,58,54,6,0
2912,830,36,18,58872,1,1,10,6,301,15,45,82,0,16,1,1,9,56,8,0
2913,703,43,15,60064,0,0,6,45,147,36,11,36,19,20,25,0,15,35,3,0
2914,809,67,15,97756,0,0,32,47,1594,467,2,39,5,26,11,19,5,14,3,0
2915,1108,39,18,58797,1,0,13,22,433,192,13,63,7,22,7,1,9,46,7,0
2916,953,27,15,42831,1,0,1,442,20,2,34,33,14,37,7,9,46,54,6,0
2917,1180,48,16,74674,0,1,16,95,594,207,21,72,2,20,3,2,24,34,6,0
2918,885,44,15,78118,1,1,13,22,434,23,44,70,0,26,3,0,3,54,7,0
2919,627,53,16,91103,1,1,12,86,383,42,32,48,12,19,10,10,26,29,2,0
2920,1023,75,15,108544,0,0,25,13,1141,356,1,13,25,15,27,20,14,10,1,0
2921,1050,43,15,70501,1,1,14,2,487,-67,63,73,7,16,3,1,15,56,8,0
2922,876,32,18,44615,1,0,3,78,45,2,42,50,7,40,1,2,26,59,7,0
2923,789,46,16,58394,1,1,3,45,64,-6,58,81,1,13,2,3,29,48,6,0
2924,602,32,19,38592,1,1,1,220,8,-2,75,70,5,22,2,2,15,69,6,0
2925,699,25,19,38954,1,0,3,5,53,8,30,64,2,28,2,4,40,60,8,1
2926,1038,47,15,70663,0,1,17,83,661,181,19,66,6,26,0,2,5,71,9,1
2927,847,71,18,112676,0,0,34,37,1735,1020,1,64,5,22,6,3,4,10,1,1
2928,1175,24,16,41077,1,0,4,73,91,6,34,15,13,49,19,3,43,75,9,0
2929,926,34,15,42120,1,0,2,40,35,-1,55,19,6,44,12,19,9,61,8,0
2930,1201,45,17,80495,0,1,23,8,1022,291,12,83,1,15,1,1,8,58,8,1
2931,729,64,18,89945,0,1,21,94,888,391,6,89,1,9,1,1,4,37,4,0
2932,755,56,19,88030,0,1,21,85,898,226,10,60,1,36,1,2,1,32,4,0
2933,966,68,16,103667,1,0,18,69,715,250,7,55,4,24,9,8,6,43,3,0
2934,1233,77,16,106321,0,0,40,93,2106,1233,1,30,11,55,3,1,8,13,2,1
2935,940,21,15,24934,1,1,4,95,34,-10,94,38,13,7,22,20,30,49,5,0
2936,865,21,15,26540,0,0,3,77,31,4,19,9,34,28,25,4,7,65,7,0
2937,810,39,15,48829,1,1,2,84,31,-4,70,55,6,33,5,1,5,55,6,0
2938,1040,53,17,69167,0,1,16,9,602,118,22,89,0,9,0,2,10,51,8,0
2939,1103,48,20,78142,0,1,22,63,964,336,15,90,0,9,0,0,2,53,8,1
2940,1041,41,19,61011,1,1,3,13,66,-18,76,65,2,28,4,1,7,67,7,0
2941,1040,69,17,95590,0,0,40,55,2105,1201,2,24,4,63,4,5,2,11,3,1
2942,670,67,20,105078,1,0,22,33,959,241,9,83,1,12,2,1,9,50,5,0
2943,859,76,16,109228,0,0,37,88,1920,921,1,16,5,54,13,11,12,20,3,0
2944,1042,54,18,88924,0,1,20,55,834,271,14,88,0,8,1,2,25,55,7,0
2945,784,47,15,61641,0,1,1,132,20,-1,57,76,1,18,3,1,56,54,6,1
2946,1244,67,18,99197,0,0,25,7,1153,650,2,32,10,47,5,6,3,13,2,0
2947,806,27,19,44758,1,0,2,10,41,2,45,41,6,45,6,2,59,61,8,1
2948,611,63,15,105158,0,1,24,92,1076,329,5,76,3,18,3,1,14,29,3,2
2949,658,35,14,52875,1,0,4,78,72,14,26,35,8,52,3,2,24,33,3,0
2950,875,22,16,45617,0,0,3,100,51,6,23,17,15,21,45,3,26,73,8,0
2951,599,53,20,78282,0,1,2,89,41,7,26,75,1,22,1,1,4,49,4,0
2952,804,46,18,80240,0,0,22,85,961,462,4,62,4,25,7,2,7,35,4,0
2953,1175,69,20,98577,1,0,33,37,1665,689,6,90,1,9,0,0,1,51,8,1
2954,689,61,20,83849,0,1,11,5,346,91,18,70,1,27,1,1,3,33,3,0
2955,814,44,19,66162,0,0,15,29,535,213,4,55,7,31,1,6,3,49,6,0
2956,842,42,14,69637,1,1,10,85,303,-2,51,31,11,41,9,8,61,52,6,1
2957,1128,20,14,26924,0,0,4,18,69,9,35,12,13,32,27,16,14,27,4,0
2958,596,34,15,54527,1,0,2,85,29,2,37,28,9,35,14,14,44,72,6,0
2959,817,44,18,55022,1,1,6,98,147,-26,74,50,2,43,4,1,3,69,9,0
2960,804,47,16,68428,0,1,10,95,300,41,28,88,0,7,3,2,49,57,7,0
2961,776,51,19,72568,0,1,15,29,546,162,19,88,0,10,0,1,8,48,6,0
2962,606,73,15,99057,0,0,23,66,1016,396,4,37,15,33,7,9,8,21,2,0
2963,1140,48,19,62342,0,1,23,71,1023,151,26,76,3,16,0,5,12,59,9,0
2964,634,58,15,105370,0,1,20,32,830,222,13,54,7,23,8,8,13,37,4,0
2965,1027,78,16,114761,0,0,35,37,1798,598,0,45,12,37,4,2,6,16,1,1
2966,915,58,20,92487,0,1,25,36,1153,623,6,81,2,13,2,2,2,28,4,1
2967,728,75,16,126550,0,0,40,87,2108,1192,1,43,2,49,0,6,0,15,2,3
2968,909,45,17,63588,0,1,1,543,19,2,32,75,3,21,0,0,25,62,6,0
2969,1167,65,16,82209,0,0,22,36,960,300,2,30,27,31,12,0,2,13,1,0
2970,1210,63,17,83231,0,0,32,94,1604,532,5,52,6,27,8,6,6,34,7,1
2971,865,77,20,107690,0,0,34,24,1729,506,1,62,3,31,3,2,5,18,2,1
2972,611,43,14,64716,1,1,2,93,35,0,49,52,1,35,8,3,56,27,2,0
2973,1195,58,15,95608,0,1,26,66,1218,385,9,30,16,20,21,13,26,28,4,0
2974,880,51,16,96297,0,1,29,92,1406,393,4,78,2,16,1,3,1,56,6,2
2975,1070,27,16,42886,1,0,4,41,93,1,49,41,10,36,10,2,19,70,9,0
2976,1007,60,17,85346,0,0,21,60,888,427,2,35,15,21,24,5,7,39,4,0
2977,1186,50,20,77564,0,1,26,98,1206,359,9,85,0,14,1,0,13,45,8,0
2978,1106,27,18,41339,1,0,2,40,35,3,37,47,13,30,3,7,16,54,6,0
2979,749,21,15,33177,0,0,1,479,19,2,30,17,20,42,8,13,43,58,7,0
2980,974,23,17,24570,0,0,4,19,50,4,35,11,16,52,2,19,38,67,8,0
2981,1003,21,15,29317,1,0,4,21,57,-6,77,27,25,15,6,27,14,70,9,0
2982,1109,72,16,105137,0,0,36,93,1851,798,1,63,10,19,5,3,1,29,4,0
2983,1242,46,19,58941,0,1,11,13,345,92,19,80,0,15,2,2,9,61,8,0
2984,569,34,19,52823,1,0,2,9,42,10,26,85,1,13,1,1,5,30,3,0
2985,910,32,18,28032,0,0,4,89,67,13,20,55,7,27,7,3,28,57,7,0
2986,1214,24,14,51204,1,0,17,48,655,44,35,8,8,27,25,32,80,51,8,1
2987,742,60,16,92617,1,1,16,54,603,152,21,70,6,13,6,5,10,50,6,1
2988,831,30,16,38504,1,0,2,18,22,0,52,9,15,33,16,27,27,58,5,0
2989,795,61,16,102725,0,1,27,12,1277,659,9,49,3,19,3,26,59,26,4,1
2990,915,39,19,50929,1,0,2,86,38,-5,63,62,2,30,3,3,10,48,5,0
2991,589,41,15,62900,0,1,2,25,28,10,12,49,9,18,3,21,16,46,3,0
2992,983,28,19,48648,1,0,10,4,294,34,30,53,3,36,1,8,7,70,9,0
2993,1019,62,17,97411,0,1,25,85,1149,357,3,63,8,20,7,2,5,44,6,0
2994,566,24,15,26495,0,1,4,25,32,-1,54,3,9,23,38,27,61,64,5,0
2995,1186,53,18,83793,1,1,25,3,1145,60,43,96,0,4,0,0,3,53,8,1
2996,713,65,15,88832,0,0,29,22,1401,430,3,41,29,17,7,7,3,6,1,0
2997,923,38,16,76800,0,1,12,9,396,124,11,68,4,19,4,5,18,56,6,0
2998,1159,27,14,33542,1,0,2,69,29,-5,82,37,12,36,9,6,31,75,9,1
2999,830,67,16,93553,0,0,19,60,767,225,3,21,0,33,20,25,16,17,1,0
3000,739,33,18,55402,1,0,6,96,153,-2,53,57,2,37,1,2,21,61,7,0
3001,1171,65,18,73351,0,0,22,96,963,266,5,29,8,44,14,5,12,11,2,0
3002,982,73,16,129124,0,0,35,60,1795,695,2,25,4,53,17,1,1,17,2,1
3003,600,64,17,84009,0,1,18,78,720,319,14,36,1,42,17,4,4,24,3,0
3004,866,64,16,95361,1,1,18,23,702,68,37,56,0,22,11,11,2,21,3,0
3005,859,71,17,99313,0,0,33,58,1664,835,3,30,9,49,8,3,3,18,3,0
3006,936,30,17,50315,0,0,2,96,32,6,32,41,3,14,23,18,1,38,4,0
3007,1052,69,16,101568,0,0,36,67,1855,568,3,60,5,30,4,1,7,18,3,1
3008,787,62,17,82980,0,1,15,100,543,25,43,64,2,26,5,2,2,27,3,0
3009,1159,30,18,46636,1,0,2,48,38,1,48,40,3,35,2,20,36,64,8,1
3010,1061,56,18,83691,0,1,16,22,595,272,8,18,1,53,3,25,14,35,4,0
3011,1152,42,19,61926,1,0,9,61,257,36,30,94,0,5,1,0,13,49,7,1
3012,606,28,14,36031,1,0,1,451,14,0,44,12,3,48,31,6,62,62,6,0
3013,850,24,16,19678,1,0,4,50,49,-2,57,19,5,60,15,0,45,56,7,0
3014,652,66,16,106136,0,0,26,60,1212,558,1,43,5,40,5,7,11,22,2,0
3015,1035,73,14,108930,0,0,43,1,2289,1180,1,31,2,50,10,7,2,18,5,0
3016,1157,56,16,77672,0,1,18,80,712,245,15,46,6,39,6,3,5,37,6,0
3017,1183,40,17,41471,1,1,4,95,90,-26,84,57,6,28,2,7,18,51,7,0
3018,570,78,15,103124,0,0,24,28,1083,409,1,21,14,53,7,5,28,11,1,0
3019,559,25,18,36411,1,1,4,58,52,-11,84,78,2,17,2,2,4,52,7,0
3020,1177,22,16,20382,1,0,2,60,20,-3,86,9,14,44,17,16,69,57,7,1
3021,1133,59,17,76961,0,0,15,9,545,298,6,61,1,14,12,12,8,22,2,0
3022,1004,31,17,43537,1,0,10,31,305,-11,55,62,2,14,17,5,4,41,8,0
3023,1052,60,19,79872,0,1,24,17,1076,359,10,85,1,11,1,2,2,30,5,0
3024,608,74,18,117893,0,0,37,87,1914,636,1,50,8,32,4,5,8,10,1,2
3025,1132,60,18,78904,0,1,18,52,708,136,20,44,11,37,1,8,16,28,5,0
3026,1207,40,18,45403,0,1,4,14,92,9,35,69,1,23,6,0,14,63,8,0
3027,720,71,14,101304,0,0,31,3,1542,931,1,22,11,50,9,7,8,12,2,0
3028,670,23,16,22038,1,0,2,23,20,-1,61,16,4,26,54,0,5,56,6,0
3029,922,73,17,104106,0,0,33,68,1666,824,1,31,12,33,5,19,3,17,3,0
3030,646,70,19,107752,0,0,26,61,1208,470,2,49,6,40,4,1,3,19,2,0
3031,1245,54,14,83962,0,1,12,39,392,113,17,80,4,12,4,0,49,55,6,0
3032,1052,21,15,38801,1,0,3,97,51,-1,55,14,35,20,9,22,66,60,8,0
3033,798,57,15,87758,0,0,15,91,544,166,6,31,8,38,9,14,21,30,2,0
3034,881,30,15,29769,1,0,2,94,21,-2,67,27,22,41,6,4,26,49,5,0
3035,1093,68,19,72716,0,0,19,48,763,221,10,32,3,52,8,5,18,10,2,0
3036,739,27,15,32309,1,0,3,45,52,-8,71,43,10,39,6,2,27,57,7,0
3037,1083,68,16,91502,0,0,19,45,776,440,5,51,2,34,6,7,5,11,1,0
3038,581,38,15,45883,0,1,5,60,56,4,44,39,10,32,15,4,14,39,2,0
3039,1095,29,19,28470,1,0,3,91,52,-11,79,48,2,47,1,2,14,53,7,1
3040,550,76,19,105082,0,0,28,9,1346,668,2,59,1,35,3,2,3,20,3,0
3041,610,78,19,113139,0,0,22,76,946,454,1,45,1,43,4,8,18,20,2,0
3042,904,24,17,29545,1,0,3,87,45,-3,66,20,0,34,39,7,25,59,7,0
3043,823,41,14,65996,1,0,16,10,601,125,30,83,0,13,1,2,4,55,7,1
3044,1043,48,17,40108,0,1,2,27,40,5,30,90,0,7,2,0,11,57,7,0
3045,863,60,14,87118,0,1,12,56,394,70,27,18,8,29,11,34,35,26,3,0
3046,792,65,15,94458,1,1,10,16,295,3,49,44,9,23,1,23,1,62,7,0
3047,739,33,18,45847,1,1,1,214,14,-2,85,47,3,32,18,1,10,70,7,0
3048,1230,78,18,117462,1,0,47,24,2529,887,3,76,0,19,0,5,3,56,9,2
3049,882,31,19,46735,0,1,2,75,35,-5,63,74,1,21,2,2,14,49,6,0
3050,599,77,19,112155,0,0,31,60,1529,545,1,40,5,49,3,3,17,24,2,1
3051,602,75,16,123033,0,0,37,98,1913,607,0,33,2,47,12,6,12,9,1,0
3052,798,63,17,95727,0,0,24,54,1074,353,1,33,19,29,12,7,3,37,4,0
3053,1047,55,20,72924,0,1,21,72,891,81,38,77,2,16,2,3,4,30,6,0
3054,1012,54,14,96749,0,1,27,90,1280,346,6,52,18,18,2,10,5,42,6,0
3055,1116,52,18,72972,0,1,20,42,829,328,14,85,0,14,0,1,7,37,7,0
3056,1065,57,17,79963,0,1,18,72,717,156,21,57,12,14,13,3,9,26,4,0
3057,1150,19,13,13634,1,0,5,70,63,-2,58,9,20,15,27,30,52,50,7,0
3058,692,63,19,81641,0,1,14,74,494,99,24,71,1,23,2,3,1,26,2,0
3059,612,65,15,86464,0,0,18,82,705,262,3,57,2,24,12,5,13,38,3,0
3060,870,45,20,64168,1,1,6,38,150,19,35,95,0,5,0,0,5,53,6,0
3061,906,46,16,67778,0,1,8,47,219,35,29,75,5,12,5,3,41,46,5,0
3062,928,31,14,48193,1,0,6,13,152,-15,70,37,3,50,9,1,12,70,9,1
3063,689,38,17,47323,1,0,1,90,17,0,49,36,5,43,10,7,28,58,7,0
3064,565,22,14,39280,1,0,3,5,34,1,43,4,13,57,13,13,42,61,5,0
3065,624,23,17,43028,1,0,2,4,40,4,22,34,14,34,8,10,5,70,8,0
3066,1109,43,17,41216,0,1,5,1,121,8,43,57,2,36,3,2,22,56,8,0
